uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,max_accel,phys_fp
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.0,17.5,14.457,3.163,True,0.9241,0.6898,0,0,1.694,8.5,1.0588,445f7ff,1,300.0,16,16,True,,0,0,12.0,43ec5c75ad5c
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,1,1.728,10.1,1.0891,445f7ff,2,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,1,1.788,9.5,1.1053,445f7ff,2,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,1,1.825,9.5,1.1053,445f7ff,1,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.006,10.1,1.396,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,1,1.992,10.1,1.0891,445f7ff,0,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,1,2.037,10.1,1.0891,445f7ff,1,300.0,12,12,True,,0,0,12.0,43ec5c75ad5c
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.1,19.3,15.014,4.517,True,4.1804,0.3267,0,2,2.121,9.3,1.086,445f7ff,1,300.0,16,16,True,,0,0,15.0647,43ec5c75ad5c
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,445f7ff,0,300.0,,,,,,,,43ec5c75ad5c
