uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,2.174,10.1,1.0891,950e503,2,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.0,17.5,14.457,3.163,True,0.9241,0.6898,0,0,2.48,8.5,1.0588,950e503,1,300.0,16,16,True,,0,0,0,0,0,106,0,151,0,0,0.924115,0.68983,-1,80,0,12.0,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,2.689,9.5,1.1053,950e503,1,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,12.0,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.5,,,,,,,,,0.0,9.5,1.0,950e503,0,300.0,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,sequential,ok,12.7,21.6,11.224,8.9,True,2.867,0.466,0,,0.004,9.5,1.3368,950e503,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,2.762,9.5,1.1053,950e503,0,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,2.871,10.1,1.0891,950e503,1,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,12.0,65eb7c9d9016
n2_chain_062b2ca2,4,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,10.5,20.0,11.161,7.558,True,2.867,0.4308,0,0,3.261,9.5,1.1053,950e503,2,300.0,12,12,True,,0,0,0,0,0,86,0,168,0,0,2.867013,0.430786,-1,92,0,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,950e503,0,300.0,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.006,10.1,1.396,950e503,0,300.0,,,,,,,,,,,,,0,0,1.261584,0.346746,-1,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,3.292,10.1,1.0891,950e503,0,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.8,14.594,3.36,True,0.9341,0.7454,0,1,3.693,8.5,1.0706,950e503,2,300.0,16,16,True,,0,0,0,0,0,106,0,154,0,0,0.934124,0.745364,-1,88,0,12.5187,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.4,21.0,19.699,3.085,True,2.4319,0.4314,0,0,3.756,11.1,1.027,950e503,1,300.0,16,14,True,,0,0,0,0,0,156,0,194,0,0,2.431936,0.431395,-1,104,2,17.148,65eb7c9d9016
