uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,9.3,,,,,,,,,0.0,9.3,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.6,23.2,14.422,8.6,True,3.4653,0.4059,0,,0.003,9.3,1.5699,b6767bd,0,300.0,,,,,,,,,,,,,0,0,3.465321,0.405881,-1,,,,,,,,,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,2.028,9.3,1.0538,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,0,178.751,293.024,569.366,12.0,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,2.124,9.3,1.0538,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,0,193.563,295.27,575.408,12.0,65eb7c9d9016
n2_chain_0d69eec5,0,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.8,18.9,14.517,4.531,True,3.9843,0.3267,0,0,1.949,9.3,1.0538,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,110,0,165,0,0,3.98431,0.326671,-1,88,0,10,0,166.84,286.596,577.505,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.1,,,,,,,,,0.0,10.1,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,sequential,ok,14.1,19.3,14.239,5.2,True,1.2616,0.3467,0,,0.003,10.1,1.396,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.261584,0.346746,-1,,,,,,,,,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,1.329,10.1,1.0891,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,98.734,176.414,322.654,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,1.306,10.1,1.0891,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,98.291,176.119,295.573,12.0,65eb7c9d9016
n2_chain_aa3bf00e,1,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,11.0,16.2,14.383,2.305,True,2.5233,0.3313,0,0,1.325,10.1,1.0891,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,111,0,142,0,0,2.523283,0.331312,-1,92,23,11,0,98.782,200.499,289.607,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.5,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.7,15.083,2.849,True,0.9183,0.6245,0,1,1.527,8.5,1.0706,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,106,0,153,0,0,0.918288,0.624524,-1,88,0,10,0,117.325,255.585,511.475,16.7798,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.0,17.5,14.457,3.163,True,0.9241,0.6898,0,0,1.429,8.5,1.0588,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,106,0,151,0,0,0.924115,0.68983,-1,80,0,9,0,120.292,262.586,493.595,12.0,65eb7c9d9016
n2_chain_5fca519e,2,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,9.1,17.8,14.594,3.36,True,0.9341,0.7454,0,1,1.537,8.5,1.0706,b6767bd,2,300.0,16,16,True,,0,0,0,0,0,106,0,154,0,0,0.934124,0.745364,-1,88,0,10,0,108.891,256.806,505.057,12.5187,65eb7c9d9016
n2_chain_add0f77c,3,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,11.1,,,,,,,,,0.0,11.1,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
